patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quý ông Tú Trần,382221720703,1954,0809523635,john09@example.net,"244 John Làng
Thị xã JohnPhường, 356620",Khỏe mạnh,5.37,Bảo Mai Bảo Mai,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Cô Kim Bùi,415268009694,1948,0753165413,john67@example.net,"725 Jane Số
Thị xã JaneThị xã, 840529",Tiểu đường,11.77,Bà Hải Đặng,18/06/2026
7412b293-4729-4739-a14f-f3d719db3ad0,Quý cô Linh Trần,034784439938,1964,0572824293,jane10@example.com,"25 Jane Tổ
JaneXã, 512982",Tim mạch,5.28,Bà Nhật Đặng,20/06/2026
a7cad415-366e-416f-908e-bad7b7c93acf,Dũng Mai Bảo Phạm,564247006184,1971,0973188742,janele@example.net,"90 John Làng
JaneHuyện, 625814",Tim mạch,5.31,Bảo Hữu Đặng,26/04/2026
988c24c9-61b1-4d22-a280-1c4510435a10,Ông Anh Dương,950241098062,1951,0798537717,john47@example.com,"327 John Làng
JaneThành phố, 456082",Tiểu đường,4.8,Bác Khoa Lê,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Vân Lê,028508227191,1968,0599173964,phamjane@example.net,"24 Bùi Dãy
Huyện JaneQuận, 271487",Tiểu đường,11.61,Quý ông Quang Bùi,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Anh Trung Đặng,030086554568,1938,0996466998,nguyenjane@example.org,"15 Jane Đường
Huyện JohnXã, 631597",Tim mạch,5.54,Khoa Vũ,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Duyên Bùi,224516016240,1942,0978793869,jane88@example.org,"766 Jane Số
JohnXã, 946331",Tim mạch,7.22,Bà Thành Dương,12/06/2026
ed2662e9-17e0-41b7-b810-238303c72ba8,Xuân Đặng,392049438355,2001,0377687018,john07@example.com,"5 Đặng Tổ
Quận JaneXã, 896509",Huyết áp cao,5.87,Anh Hưng Đặng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Nhật Hoàng Nguyễn,624724969694,1960,0727939433,janebui@example.com,"059 Phạm Dãy
JohnThị xã, 395398",Khỏe mạnh,9.69,Bà Phương Lê,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Cô Vi Bùi,018062317179,1949,0557924611,vujane@example.net,"50 Vũ Số
JaneThành phố, 669113",Huyết áp cao,6.95,Chị Nhật Bùi,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Anh Lê,358487329286,2001,0775584061,john96@example.net,"60 Đặng Khu
Thành phố JanePhường, 138390",Tiểu đường,9.86,Kim Trần,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Bảo Trần,865906073314,1964,0388014994,john34@example.org,"218 John Hẻm
JaneHuyện, 462163",Tiểu đường,8.76,Vân Trần,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Thành Trần,110356580501,1965,0528237918,mmai@example.com,"Thị xã JohnThành phố
02 Jane Ngõ, 454180",Tiểu đường,8.07,Thảo Mai,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Bảo Bùi,522565784166,1994,0371177426,lmai@example.com,"60 Jane Ngõ
JohnQuận, 698626",Tiểu đường,9.81,Chị Hải Đặng,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Bà Lan Nguyễn,223435976672,1961,0839945973,itran@example.net,"8 John Tổ
JohnThị xã, 388134",Khỏe mạnh,8.19,Ông Dũng Đặng,04/06/2026
bc67f831-cbc8-4759-b5b7-8cc7e6b3c944,Kim Đặng,629085107878,1981,0334635417,gdang@example.net,"80 Lê Khu
JohnThị xã, 317198",Tiểu đường,6.51,Phương Hữu Phạm,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,Phúc Phạm,634116369931,1952,0330355148,jane56@example.com,"2 Vũ Dãy
JohnQuận, 335745",Khỏe mạnh,6.47,Huy Đức Phạm,05/04/2026
709b7d97-464c-44af-bd3f-3799a07295e9,Huy Mai Bảo Dương,524704617640,1967,0780554901,dbui@example.org,"194 Hoàng Số
JaneThị xã, 684745",Tiểu đường,8.57,Anh Trung Nguyễn,16/05/2026
c3fe0183-e172-4725-9b52-ca5805000bc6,Quý cô Thành Hoàng,331270923407,1976,0746045833,buijohn@example.org,"57 Jane Dãy
Quận JaneHuyện, 522511",Tim mạch,9.14,Nhật Lê,28/06/2026
88bc539c-9f4c-4b79-bb10-987f20ac3703,An Hoàng Trần,561860344223,1939,0938055554,john98@example.com,"7 Trần Làng
JaneHuyện, 887331",Tim mạch,5.29,Nhật Vũ,26/05/2026
f3b1025b-fff9-4585-8d55-7b618a175dfe,Bà Hải Đặng,951794892240,1939,0982689573,janenguyen@example.com,"299 Jane Số
JohnHuyện, 683469",Tiểu đường,3.89,Quý cô Thảo Phạm,21/01/2026
4fdc6e1b-edcb-4cb6-8692-dc639424aed5,Lan Dương,820557897517,1968,0905871780,fnguyen@example.org,"82 Hoàng Ngõ
Thị xã JohnQuận, 216006",Huyết áp cao,11.3,Lâm Nguyễn,04/02/2026
a6846099-f729-4951-8591-31d2bbda0242,Quý cô Thành Trần,894620671246,2001,0349666803,john59@example.org,"686 Phạm Số
JaneHuyện, 760891",Khỏe mạnh,8.83,Ngọc Vũ,10/03/2026
4797b2c9-5720-4246-8223-623bcc3ebdde,Hạnh Văn Dương,593280038582,2005,0786116348,jane50@example.org,"8 Phạm Số
JaneHuyện, 966268",Khỏe mạnh,7.03,Lâm Lê,13/03/2026
58007c02-87ea-4ff5-8db0-674679279973,Quý cô Hải Hoàng,749256197880,1997,0755670160,ole@example.net,"640 Dương Hẻm
Thị xã JaneThị xã, 530224",Khỏe mạnh,3.75,Hà Vũ,03/01/2026
4639447b-2067-4dac-88bd-13d1b540b30e,An Phạm,981234629094,1975,0920682662,duongjohn@example.org,"3 John Số
Huyện JohnQuận, 696960",Huyết áp cao,7.36,Ông Huy Đặng,30/01/2026
f2f9e5fa-9016-4161-8fa7-01cd2631d00b,Quý cô Yến Mai,300662143334,1951,0876052850,nguyenjohn@example.net,"09 Mai Làng
Thị xã JanePhường, 350940",Huyết áp cao,7.53,An Thế Đặng,03/02/2026
00af5b3a-2812-459a-9337-739e8d4f5d27,Quý cô Lâm Đặng,152975404126,1939,0953451053,maijohn@example.org,"24 John Làng
JaneQuận, 816881",Huyết áp cao,4.37,Thành Hoàng Vũ,12/01/2026
9854ce4e-4ebf-45c3-8ae9-b4a72a79ea68,Chị Dương Hoàng,014126304783,1999,0703793425,jane91@example.com,"781 Lê Làng
JohnThành phố, 884972",Huyết áp cao,9.74,Khoa Mai Bảo Hoàng,22/04/2026
2cd94cbb-c19a-458c-835b-1c8c0a4c9f7f,Linh Đặng,962135505646,1994,0329215550,janeduong@example.com,"7 Trần Số
JohnPhường, 914320",Tim mạch,5.05,Dương Dương,03/03/2026
f85e06a1-1dad-49b2-92c2-1221409d3602,Thảo Vũ,858864824601,1998,0389691195,john97@example.com,"70 Bùi Đường
JanePhường, 636409",Tiểu đường,6.0,Chi Đặng,05/06/2026
4f8d5238-288b-48b5-b5b4-53ca3d42993c,Nhật Dương,682751842712,1948,0597008374,jane61@example.com,"11 Jane Ngõ
Huyện JanePhường, 456342",Tiểu đường,9.81,Nam Đức Dương,09/04/2026
dd30de89-22f2-45f2-a11b-868dbf0d073d,Quý ông Huy Đặng,287781414964,1981,0532961250,jbui@example.org,"34 Jane Ngõ
JaneQuận, 893751",Tiểu đường,8.2,Phương Đức Bùi,09/01/2026
